Total,Clearance,Circulation,PairwiseDistance,PairwiseAngle,ConversationDistance,ConversationAngle,Balance,Alignment,WallAlignment,Symmetry,Emphasis,AcceptanceProbability,Iteration
-61.090440,0.000000,0.000000,-0.565551,-1.655615,-2.456640,-2.277553,0.573784,-10.000000,-5.000000,8.348944,0.100995,1.000000,0.000000
-60.309460,0.000000,0.000000,-0.563971,-1.655668,-2.321710,-2.200949,0.520668,-10.000000,-5.000000,8.210464,0.097890,0.457957,2.000000
-60.106780,0.000000,0.000000,-0.564010,-1.645045,-2.320774,-2.208909,0.495520,-10.000000,-5.000000,8.442413,0.097317,0.816547,3.000000
-60.946000,0.000000,0.000000,-0.564905,-1.650346,-2.397144,-2.248699,0.538765,-10.000000,-5.000000,8.110635,0.097529,1.000000,4.000000
-59.813920,0.000000,0.000000,-0.565169,-1.666058,-2.397144,-2.247204,0.402593,-9.542331,-4.885583,8.077836,0.106568,0.322361,6.000000
-60.017530,0.000000,0.000000,-0.565911,-1.666006,-2.456848,-2.281066,0.428634,-9.542331,-4.885583,8.276402,0.108542,1.000000,7.000000
-61.066550,0.000000,0.000000,-0.565738,-1.657996,-2.456848,-2.282844,0.508026,-9.931922,-4.982981,8.303952,0.100630,1.000000,8.000000
-61.611370,0.000000,0.000000,-0.567784,-1.655251,-2.616225,-2.378312,0.560186,-9.931922,-4.982981,8.879678,0.102524,1.000000,9.000000
-59.950660,0.000000,0.000000,-0.568083,-1.666675,-2.616225,-2.375898,0.455440,-9.300875,-4.825219,8.756975,0.114272,0.190003,10.000000
-60.038380,0.000000,0.000000,-0.568073,-1.666462,-2.616225,-2.376039,0.458734,-9.332611,-4.833153,8.763818,0.113697,1.000000,11.000000
-61.700740,0.000000,0.000000,-0.567725,-1.651982,-2.616225,-2.378374,0.581207,-9.976599,-4.994150,8.883312,0.101516,1.000000,12.000000
-61.693690,0.000000,0.000000,-0.567733,-1.652409,-2.616225,-2.378373,0.578560,-9.972298,-4.993074,8.882927,0.101622,0.992979,15.000000
-61.709750,0.000000,0.000000,-0.567713,-1.651272,-2.616225,-2.378372,0.585546,-9.982849,-4.995712,8.883898,0.101355,1.000000,16.000000
-61.698380,0.000000,0.000000,-0.567661,-1.645376,-2.616225,-2.378196,0.604291,-9.998642,-4.999660,8.886593,0.100622,0.988689,17.000000
-60.853320,0.000000,0.000000,-0.565931,-1.633713,-2.479543,-2.306366,0.540110,-9.998642,-4.999660,8.785660,0.103400,0.429532,19.000000
-61.382160,0.000000,0.000000,-0.567107,-1.625248,-2.577834,-2.365570,0.568191,-9.998642,-4.999660,8.916282,0.110240,1.000000,20.000000
-62.175490,0.000000,0.000000,-0.568829,-1.620555,-2.712693,-2.442726,0.609267,-9.998642,-4.999660,9.039112,0.114815,1.000000,22.000000
-62.082450,0.000000,0.000000,-0.568573,-1.642491,-2.684344,-2.420063,0.622131,-9.998642,-4.999660,8.985722,0.101735,0.911164,25.000000
-61.414190,0.000000,0.000000,-0.568838,-1.621604,-2.684344,-2.417244,0.537467,-9.767637,-4.941909,8.934883,0.105129,0.512597,26.000000
-60.329150,0.000000,0.000000,-0.569003,-1.604520,-2.684344,-2.414220,0.486179,-9.406580,-4.851645,8.859692,0.110751,0.337888,27.000000
-60.711610,0.000000,0.000000,-0.569630,-1.627167,-2.761698,-2.448955,0.543856,-9.406580,-4.851645,9.031393,0.102394,1.000000,28.000000
-60.501770,0.000000,0.000000,-0.569179,-1.625399,-2.722595,-2.428864,0.528858,-9.406580,-4.851645,8.977564,0.101864,0.810715,29.000000
-61.159340,0.000000,0.000000,-0.570404,-1.634956,-2.847462,-2.485583,0.581254,-9.406580,-4.851645,9.127274,0.105996,1.000000,30.000000
-61.588550,0.000000,0.000000,-0.571765,-1.614339,-2.892949,-2.531180,0.565870,-9.406580,-4.851645,9.076020,0.106289,1.000000,31.000000
-62.433300,0.000000,0.000000,-0.573540,-1.621428,-3.036397,-2.602544,0.612485,-9.406580,-4.851645,9.200738,0.107864,1.000000,32.000000
-63.807510,0.000000,0.000000,-0.573267,-1.639209,-3.036397,-2.600279,0.666823,-9.834776,-4.958694,9.154301,0.111471,1.000000,33.000000
-64.350010,0.000000,0.000000,-0.573113,-1.659389,-3.036397,-2.592705,0.698081,-9.956560,-4.989140,8.985372,0.126729,1.000000,34.000000
-64.860120,0.000000,0.000000,-0.574817,-1.648001,-3.104286,-2.665418,0.700396,-9.956560,-4.989140,9.139659,0.113162,1.000000,35.000000
-64.879620,0.000000,0.000000,-0.574617,-1.639801,-3.104286,-2.665206,0.734677,-9.999981,-4.999995,9.163719,0.111200,1.000000,36.000000
-66.581220,0.000000,0.000000,-0.578758,-1.623343,-3.337507,-2.810233,0.774491,-9.999981,-4.999995,9.122075,0.120567,1.000000,37.000000
-68.880360,0.000000,0.000000,-0.585100,-1.624115,-3.603297,-2.987426,0.835116,-9.999981,-4.999995,8.862891,0.132528,1.000000,39.000000
-68.991220,0.000000,0.000000,-0.548611,-1.629709,-3.533760,-3.048920,0.799691,-9.999981,-4.999995,8.950802,0.032707,1.000000,40.000000
-69.021250,0.000000,0.000000,-0.559222,-1.642873,-3.582625,-2.994421,0.805345,-9.999981,-4.999995,8.840894,0.059614,1.000000,41.000000
-69.307420,0.000000,0.000000,-0.564978,-1.680237,-3.689537,-2.862050,0.801874,-9.999981,-4.999995,8.372893,0.078403,1.000000,42.000000
